,directional_accuracy,f1_score,strategy_sharpe,strategy_return,buyhold_return,excess_return
_UNIVERSAL,0.5247121346324181,0.6846126719172446,0.6258943383016741,92.64271110285715,95.7435546220507,-3.100843519193546
AAPL,0.5177664974619289,0.6822742474916388,1.1753615192734594,0.2510094121128843,0.2510094121128843,0.0
AMD,0.5228426395939086,0.6845637583892618,0.9043639929362212,0.37382326110060404,1.0983805835253833,-0.7245573224247792
AMZN,0.5380710659898477,0.6976744186046512,0.23529723234990904,0.05233012341349608,0.04637327926459456,0.005956844148901519
BAC,0.5583756345177665,0.7166123778501629,1.3352157119478634,0.25783896496502146,0.30094765054509076,-0.043108685580069306
CRM,0.5279187817258884,0.6847457627118644,-0.8389350391545362,-0.19684515057832652,-0.30689615984173246,0.11005100926340594
CVX,0.5583756345177665,0.7166123778501629,1.9139302408179624,0.37291376542403465,0.37291376542403465,0.0
DIS,0.48223350253807107,0.6482758620689655,0.3739700070265101,0.08524109911345046,0.15273204480656188,-0.06749094569311143
GOOGL,0.5634517766497462,0.7189542483660131,2.823422783567418,0.8659690102294939,0.8364928299455332,0.029476180283960707
GS,0.5786802030456852,0.7296416938110749,2.631696847915318,0.6788194192456103,0.6234852776977362,0.05533414154787408
INTC,0.5076142131979695,0.6643598615916955,1.5720614893177258,0.9297101367017777,1.2691560612987707,-0.33944592459699297
JNJ,0.5736040609137056,0.7290322580645161,3.406820047895568,0.5943489345466273,0.5943489345466273,0.0
JPM,0.5634517766497462,0.7207792207792207,1.1151733317590986,0.21525308157551626,0.21525308157551626,0.0
KO,0.48223350253807107,0.6506849315068494,0.7601696703650695,0.12223232592144195,0.12223232592144195,0.0
MA,0.5076142131979695,0.6734006734006734,-0.7975031910710315,-0.10523370751790351,-0.06947332328459577,-0.03576038423330774
META,0.49746192893401014,0.6597938144329897,0.5393337390136504,0.13831374688941422,0.0740291774081081,0.06428456948130612
MSFT,0.5380710659898477,0.6976744186046512,-0.43193058577018456,-0.061440367048480105,-0.08747931471466286,0.026038947666182755
NFLX,0.47715736040609136,0.6385964912280702,-1.1594067866199442,-0.22788241065899117,-0.33531633000634187,0.10743391934735069
NKE,0.4720812182741117,0.6413793103448275,0.3667429941507175,0.08837900373206442,0.09724568781039955,-0.00886668407833513
NVDA,0.5329949238578681,0.695364238410596,1.847315456275213,0.5968835959174008,0.5968835959174008,0.0
PFE,0.5126903553299492,0.6778523489932886,0.7993821370068527,0.18280188281183452,0.2223941466972965,-0.039592263885462
TSLA,0.5177664974619289,0.6801346801346801,0.6781375038344412,0.2174643803373808,0.45343133149759396,-0.23596695116021316
UNH,0.4873096446700508,0.6456140350877193,-0.16891126090646452,-0.12267872698262139,-0.252020660141556,0.1293419331589346
V,0.4873096446700508,0.6552901023890785,-0.8966415330139076,-0.12062199463301027,-0.08967040655224101,-0.030951588080769254
WMT,0.5076142131979695,0.6734006734006734,1.8160004554689846,0.3650776870839818,0.3650776870839818,0.0
XOM,0.5786802030456852,0.7331189710610932,2.122894740065343,0.4457266884192175,0.4457266884192175,0.0
